You do not have enough permissions to complete the action,Você não tem permissões suficientes para concluir esta ação
You do not have import permission for {0},Você não tem permissão de importação para {0}
You do not have permission to access child table field: {0},Você não tem permissão para acessar o campo da tabela filha: {0}
You do not have permission to access field: {0},Você não tem permissão para acessar o campo: {0}
You do not have permission to access {0}: {1}.,Você não tem permissão para acessar {0}: {1}.
You do not have permissions to cancel all linked documents.,Você não tem permissões para cancelar todos os documentos vinculados.
You don't have access to Report: {0},Você não tem acesso ao Relatório: {0}
You don't have permission to access the {0} DocType.,Você não tem permissão para acessar o DocType {0}.
You don't have permission to access this file,Você não tem permissão para acessar este arquivo
You don't have permission to get a report on: {0},Você não tem permissão para obter um relatório sobre: {0}
You don't have the permissions to access this document,Vocea não tem as permissf5es para acessar este documento
You have been successfully logged out,Você saiu do sistema com sucesso
You have hit the row size limit on database table: {0},Você atingiu o limite de tamanho de linha na tabela do banco de dados: {0}
You have not entered a value. The field will be set to empty.,Você não informou um valor. O campo será definido como vazio.
You have to enable Two Factor Auth from System Settings.,Você precisa ativar a autenticação de dois fatores nas Configurações do Sistema.
You have unsaved changes in this form. Please save before you continue.,Há alterações não salvas neste formulário. Salve antes de continuar.
You have unseen {0},Você tem {0} não visualizados
You haven't added any Dashboard Charts or Number Cards yet.,Você ainda não adicionou nenhum gráfico de painel ou cartão numérico.
You must add atleast one link.,Você deve adicionar pelo menos um link.
You must be logged in to use this form.,Você precisa estar conectado para usar este formulário.
You must login to submit this form,Você deve fazer login para enviar este formulário
You need the '{0}' permission on {1} {2} to perform this action.,Você precisa da permissão '{0}' em {1} {2} para executar esta ação.
You need to be Workspace Manager to delete a public workspace.,Você precisa ser Gerente de Workspace para excluir um workspace público.
You need to be Workspace Manager to edit this document,Você precisa ser Gerente de Workspace para editar este documento
You need to be a system user to access this page.,Você precisa ser um usuário do sistema para acessar esta página.
You need to be in developer mode to edit a Standard Web Form,Você precisa estar no modo desenvolvedor para editar um Formulário Web Padrão
You need to be logged in and have System Manager Role to be able to access backups.,Você precisa estar conectado e ter a função Gerente do Sistema para acessar backups.
You need to be logged in to access this page,Você precisa estar conectado para acessar esta página
You need to be logged in to access this {0}.,Você precisa estar conectado para acessar este {0}.
You need to enable JavaScript for your app to work.,Você precisa ativar o JavaScript para que seu aplicativo funcione.
You need to have "Share" permission,Você precisa ter a permissão "Compartilhar"
You need to install pycups to use this feature!,Você precisa instalar pycups para usar este recurso!
You need to select indexes you want to add first.,Você precisa selecionar primeiro os índices que deseja adicionar.
You need to set one IMAP folder for {0},Você precisa definir uma pasta IMAP para {0}
You need write permission on {0} {1} to merge,Você precisa de permissão de gravação em {0} {1} para mesclar
You need write permission on {0} {1} to rename,Você precisa de permissão de gravação em {0} {1} para renomear
You need {0} permission to fetch values from {1} {2},Você precisa da permissão {0} para buscar valores de {1} {2}
