"Company History",Histórico da Empresa
"Team Members" or "Management",Membros da Equipe ou Gestão
"amended_from" field must be present to do an amendment.,O campo "amended_from" deve estar presente para fazer uma alteração.
"{0}" is not a valid Google Sheets URL,"{0}" não é uma URL válida do Google Sheets
1 row to {0},1 linha para {0}
<strong>Warning:</strong> This field is system generated and may be overwritten by a future update. Modify it using {0} instead.,<strong>Aviso:</strong> Este campo é gerado pelo sistema e pode ser sobrescrito em uma atualização futura. Modifique-o usando {0}.
"A DocType's name should start with a letter and can only consist of letters, numbers, spaces, underscores and hyphens","O nome do DocType deve começar com uma letra e pode conter apenas letras, números, espaços, sublinhados e hífens"
A field with the name {0} already exists in {1},Já existe um campo com o nome {0} em {1}
A file with same name {} already exists,Já existe um arquivo com o mesmo nome {}
A new account has been created for you at {0},Uma nova conta foi criada para você em {0}
A recurring {0} {1} has been created for you via Auto Repeat {2}.,Um(a) {0} {1} recorrente foi criado(a) para você via Repetição Automática {2}.
A template already exists for field {0} of {1},Já existe um modelo para o campo {0} de {1}
A word by itself is easy to guess.,Uma palavra isolada é fácil de adivinhar.
API Endpoint Args should be valid JSON,Os argumentos do endpoint da API devem ser um JSON válido
About Us Settings,Configurações de Sobre Nós
About Us Team Member,Membro da Equipe Sobre Nós
About {0} minute remaining,Falta cerca de {0} minuto
About {0} minutes remaining,Faltam cerca de {0} minutos
About {0} seconds remaining,Faltam cerca de {0} segundos
Access Token URL,URL do Token de Acesso
Access not allowed from this IP Address,Acesso não permitido a partir deste endereço IP
"Accurate count can not be fetched, click here to view all documents","Não foi possível obter a contagem exata; clique aqui para ver todos os documentos"
Action Type,Tipo de ação
Action {0} completed successfully on {1} {2}. View it {3},A ação {0} foi concluída com sucesso em {1} {2}. Veja em {3}
Action {0} failed on {1} {2}. View it {3},A ação {0} falhou em {1} {2}. Veja em {3}
Add,Adicionar
Add A New Rule,Adicionar nova regra
Add Card to Dashboard,Adicionar cartão ao painel
Add Chart to Dashboard,Adicionar gráfico ao painel
Add Child,Adicionar filho
Add Contacts,Adicionar contatos
Add Custom Tags,Adicionar tags personalizadas
Add Group,Adicionar grupo
Add Indexes,Adicionar índices
Add New Permission Rule,Adicionar nova regra de permissão
Add Participants,Adicionar participantes
Add Reply-To header,Adicionar cabeçalho Reply-To
Add Roles,Adicionar perfis
Add Space at Bottom,Adicionar espaço na parte inferior
Add Subscribers,Adicionar inscritos
Add Tags,Adicionar tags
Add Template,Adicionar modelo
Add User Permissions,Adicionar permissões de usuário
Add Video Conferencing,Adicionar videoconferência
Add X-Original-From header,Adicionar cabeçalho X-Original-From
Add a New Role,Adicionar novo perfil
Add a Row,Adicionar linha
Add a comment,Adicionar comentário
Add a new section,Adicionar nova seção
Add a row above the current row,Adicionar uma linha acima da linha atual
Add a row at the bottom,Adicionar uma linha ao final
