"You are impersonating as another user.","Você está se passando por outro usuário."
"#{0}","#{0}"
"${0} has been added to queue for optimization","{0} foi adicionado à fila para otimização"
"${values.doctype_name} has been added to queue for optimization","${values.doctype_name} foi adicionado à fila para otimização"
"""&copy; Frappe Technologies Pvt. Ltd. and contributors","&copy; Frappe Technologies Pvt. Ltd. e contribuidores"""
"""&lt;head&gt; HTML","HTML do &lt;head&gt;"""
"(Mandatory)","(Obrigatório)"
"'*' is only allowed in {0} SQL function(s)","'*' é permitido apenas na(s) função(ões) SQL {0}"
"** Failed: {0} to {1}: {2}","** Falhou: {0} para {1}: {2}"
"""; not allowed in condition","; ""não é permitido na condição,"""
"[Action taken by {0}]","[Ação realizada por {0}]"
"{{{0}}} is not a valid fieldname pattern. It should be {{field_name}}.","{{{0}}} não é um padrão válido de fieldname. Deve ser {{field_name}}."
"{} Complete","{} Concluído"
"{} does not support automated log clearing.","{} não oferece suporte à limpeza automática de logs."
"{} field cannot be empty.","o campo {} não pode ficar vazio."
"{} has been disabled. It can only be enabled if {} is checked.","{} foi desativado. Só pode ser ativado se {} estiver marcado."
"{} Invalid python code on line {}","{} código Python inválido na linha {}"
"{} is not a valid date string.","{} não é uma string de data válida."
"{} not found in PATH! This is required to access the console.","{} não encontrado no PATH! Isso é necessário para acessar o console."
"{} not found in PATH! This is required to restore the database.","{} não encontrado no PATH! Isso é necessário para restaurar o banco de dados."
"{} not found in PATH! This is required to take a backup.","{} não encontrado no PATH! Isso é necessário para gerar um backup."
"{} Possibly invalid python code. <br>{}","{} possível código Python inválido. <br>{}"
"{0} ({1}) - {2}%","{0} ({1}) - {2}%"
"{0} ({1}) (1 row mandatory)","{0} ({1}) (1 linha obrigatória)"
"{0} {1} added to Dashboard {2}","{0} {1} adicionado ao Painel {2}"
"{0} {1} added","{0} {1} adicionado"
"{0} {1} already exists","{0} {1} já existe"
"{0} {1} cannot be ""{2}"". It should be one of ""{3}""","{0} {1} não pode ser ""{2}"". Deve ser um dos seguintes: ""{3}"""
"{0} {1} cannot be a leaf node as it has children","{0} {1} não pode ser um nó folha porque possui filhos"
"""{0} {1} does not exist","select a new target to merge,""{0} {1} não existe, selecione um novo destino para mesclar"""
"{0} {1} is linked with the following submitted documents: {2}","{0} {1} está vinculado aos seguintes documentos enviados: {2}"
"{0} {1} not found","{0} {1} não foi encontrado"
"{0} {1}: Submitted Record cannot be deleted. You must {2} Cancel {3} it first.","{0} {1}: O registro enviado não pode ser excluído. Você deve {2} Cancelar {3} primeiro."
"{0} = {1}","{0} = {1}"
"{0} added {1} rows to {2}","{0} adicionou {1} linhas em {2}"
"{0} added 1 row to {1}","{0} adicionou 1 linha em {1}"
"{0} added","{0} adicionado"
"{0} already exists. Select another name","{0} já existe. Selecione outro nome"
"{0} already unsubscribed for {1} {2}","{0} já cancelou a inscrição para {1} {2}"
"{0} already unsubscribed","{0} já cancelou a inscrição"
"{0} and {1}","{0} e {1}"
"{0} are currently {1}","{0} estão atualmente {1}"
"{0} are required","{0} são obrigatórios"
"{0} assigned {1}: {2}","{0} atribuiu {1}: {2}"
"{0} assigned a new task {1} {2} to you","{0} atribuiu uma nova tarefa {1} {2} a você"
"{0} attached {1}","{0} anexou {1}"
"{0} Calendar","{0} Calendário"
"{0} can not be more than {1}","{0} não pode ser maior que {1}"
"{0} cancelled this document {1}","{0} cancelou este documento {1}"
"{0} cancelled this document","{0} cancelou este documento"
"{0} cannot be amended because it is not cancelled. Please cancel the document before creating an amendment.","{0} não pode ser alterado por aditivo porque não está cancelado. Cancele o documento antes de criar um aditivo."
"{0} cannot be hidden and mandatory without any default value","{0} não pode ficar oculto e obrigatório sem valor padrão"
"{0} changed {1} to {2}","{0} alterou {1} para {2}"
"{0} changed the value of {1} {2}","{0} alterou o valor de {1} {2}"
"{0} changed the value of {1}","{0} alterou o valor de {1}"
"{0} changed the values for {1} {2}","{0} alterou os valores de {1} {2}"
"{0} changed the values for {1}","{0} alterou os valores de {1}"
"{0} Chart","Gráfico de {0}"
"{0} contains {1}","{0} contém {1}"
"{0} contains an invalid Fetch From expression","Fetch From can't be self-referential.,{0} contém uma expressão Fetch From inválida. Fetch From não pode ser autorreferente."
"{0} created successfully","{0} criado com sucesso"
"{0} created this document {1}","{0} criou este documento {1}"
"{0} created this","{0} criou isto"
"{0} Dashboard","Painel de {0}"
"{0} days ago","há {0} dias"
"{0} does not contain {1}","{0} não contém {1}"
"{0} does not exist in row {1}","{0} não existe na linha {1}"
"{0} equals {1}","{0} é igual a {1}"
"{0} field cannot be set as unique in {1}, as there are non-unique existing values","o campo {0} não pode ser definido como único em {1}, pois existem valores já existentes não únicos"
"{0} Fields","{0} Campos"
"{0} Filter Applied","{0} Filtro Aplicado"
"{0} Filters Applied","{0} Filtros Aplicados"
"{0} format could not be determined from the values in this column. Defaulting to {1}.","Não foi possível determinar o formato de {0} com base nos valores desta coluna. Usando {1} como padrão."
"{0} from {1} to {2} in row #{3}","{0} de {1} para {2} na linha #{3}"
"{0} from {1} to {2}","{0} de {1} para {2}"
"{0} Google Calendar Events synced.","Eventos do Google Calendar de {0} sincronizados."
"{0} Google Contacts synced.","Contatos do Google de {0} sincronizados."
"{0} has already assigned default value for {1}.","{0} já atribuiu valor padrão para {1}."
"{0} has invalid backtick notation: {1}","{0} tem notação de crase inválida: {1}"
"{0} has left the conversation in {1} {2}","{0} saiu da conversa em {1} {2}"
"{0} hours ago","há {0} horas"
"{0} if you are not redirected within {1} seconds","{0} se você não for redirecionado em {1} segundos"
"{0} in row {1} cannot have both URL and child items","{0} na linha {1} não pode ter URL e itens filhos ao mesmo tempo"
"{0} is {1}","{0} é {1}"
"{0} is a descendant of {1}","{0} é descendente de {1}"
"{0} is a mandatory field","{0} é um campo obrigatório"
"{0} is a not a valid zip file","{0} não é um arquivo zip válido"
"{0} is after {1}","{0} é depois de {1}"
"{0} is an ancestor of {1}","{0} é ancestral de {1}"
"{0} is an invalid Data field.","{0} é um campo Data inválido."
"{0} is an invalid email address in 'Recipients'","{0} é um endereço de e-mail inválido em 'Destinatários'"
"{0} is before {1}","{0} é antes de {1}"
"{0} is between {1} and {2}","{0} está entre {1} e {2}"
"{0} is between {1}","{0} está entre {1}"
"{0} is currently {1}","{0} está atualmente {1}"
"{0} is disabled","{0} está desativado"
"{0} is enabled","{0} está ativado"
"{0} is equal to {1}","{0} é igual a {1}"
"{0} is greater than {1}","{0} é maior que {1}"
"{0} is greater than or equal to {1}","{0} é maior ou igual a {1}"
"{0} is less than {1}","{0} é menor que {1}"
"{0} is less than or equal to {1}","{0} é menor ou igual a {1}"
"{0} is like {1}","{0} é como {1}"
"{0} is mandatory","{0} é obrigatório"
"{0} is not a descendant of {1}","{0} não é descendente de {1}"
"{0} is not a field of doctype {1}","{0} não é um campo do doctype {1}"
"{0} is not a raw printing format.","{0} não é um formato de impressão bruto."
"{0} is not a valid Calendar. Redirecting to default Calendar.","{0} não é um Calendário válido. Redirecionando para o Calendário padrão."
"{0} is not a valid Cron expression.","{0} não é uma expressão Cron válida."
"{0} is not a valid DocType for Dynamic Link","{0} não é um DocType válido para Link Dinâmico"
"{0} is not a valid Email Address","{0} não é um endereço de e-mail válido"
"""{0} is not a valid Google Sheets URL","{0}"""" não é uma URL válida do Google Sheets"
"'{0}' is not a valid IBAN","'{0}' não é um IBAN válido"
"{0} is not a valid ISO 3166 ALPHA-2 code.","{0} não é um código ISO 3166 ALPHA-2 válido."
"{0} is not a valid Name","{0} não é um Nome válido"
"{0} is not a valid parent DocType for {1}","{0} não é um DocType pai válido para {1}"
"{0} is not a valid parentfield for {1}","{0} não é um parentfield válido para {1}"
"{0} is not a valid Phone Number","{0} não é um número de telefone válido"
"{0} is not a valid report format. Report format should one of the following {1}","{0} não é um formato de relatório válido. O formato do relatório deve ser um dos seguintes {1}"
