Email Unsubscribe,Cancelar inscrição de e-mail
Email has been marked as spam,O e-mail foi marcado como spam
Email has been moved to trash,O e-mail foi movido para a lixeira
Email is mandatory to create User Email,O e-mail é obrigatório para criar E-mail do Usuário
Email not sent to {0} (unsubscribed / disabled),E-mail não enviado para {0} (descadastrado / desativado)
Email not verified with {0},E-mail não verificado com {0}
Email queue is currently suspended. Resume to automatically send other emails.,A fila de e-mails está suspensa no momento. Retome para enviar automaticamente os outros e-mails.
Email sending undone,Envio de e-mail desfeito
Email size {0:.2f} MB exceeds the maximum allowed size of {1:.2f} MB,O tamanho do e-mail {0:.2f} MB excede o tamanho máximo permitido de {1:.2f} MB
Email undo window is over. Cannot undo email.,A janela para desfazer o e-mail terminou. Não é possível desfazer o e-mail.
Emails,E-mails
Emails Pulled,E-mails recebidos
Emails are already being pulled from this account.,Os e-mails já estão sendo recebidos desta conta.
Emails are muted,Os e-mails estão silenciados
Emails will be sent with next possible workflow actions,Os e-mails serão enviados com as próximas ações possíveis do fluxo de trabalho
Embed code copied,Código de incorporação copiado
Empty alias is not allowed,Alias vazio não é permitido
Empty column,Coluna vazia
Empty string arguments are not allowed,Argumentos de string vazia não são permitidos
Enable Action Confirmation,Habilitar confirmação de ação
Enable Address Autocompletion,Habilitar autocompletar de endereço
Enable Allow Auto Repeat for the doctype {0} in Customize Form,Habilite Permitir Repetição Automática para o doctype {0} em Personalizar Formulário
Enable Dynamic Client Registration,Habilitar registro dinâmico de cliente
Enable Google API in Google Settings.,Habilite a API do Google em Configurações do Google.
Enable Google indexing,Habilitar indexação do Google
Enable Onboarding,Habilitar onboarding
Enable Prepared Report,Habilitar relatório preparado
Enable Push Notification Relay,Habilitar relay de notificação push
Enable Rate Limit,Habilitar limite de taxa
Enable Report,Habilitar relatório
Enable Scheduler,Habilitar agendador
Enable Tracking Page Views,Habilitar rastreamento de visualizações de página
Enable Two Factor Auth,Habilitar autenticação em dois fatores
Enable developer mode to create a standard Print Template,Habilite o modo de desenvolvedor para criar um Modelo de Impressão padrão
Enable developer mode to create a standard Web Template,Habilite o modo de desenvolvedor para criar um Modelo Web padrão
Enable if on click|||opens modal.,Habilite se ao clicar|||abre modal.
Enable in-app website tracking,Habilitar rastreamento de site no aplicativo
Enabled Scheduler,Agendador habilitado
Enabled email inbox for user {0},Caixa de entrada de e-mail habilitada para o usuário {0}
Enables Calendar and Gantt views.,Habilita as visualizações Calendário e Gantt.
"Enabling this will register your site on a central relay server to send push notifications for all installed apps through Firebase Cloud Messaging. This server only stores user tokens and error logs, and no messages are saved.","Ao habilitar isto, seu site será registrado em um servidor relay central para enviar notificações push de todos os aplicativos instalados por meio do Firebase Cloud Messaging. Esse servidor armazena apenas tokens de usuário e logs de erro, e nenhuma mensagem é salva."
"Enabling this will submit documents in background","Ao habilitar isto, os documentos serão enviados em segundo plano"
Encrypt Backups,Criptografar backups
Encryption key is in invalid format!,A chave de criptografia está em formato inválido!
Encryption key is invalid! Please check site_config.json,A chave de criptografia é inválida! Verifique o site_config.json
End,Fim
End Date,Data final
End Date cannot be before Start Date!,A data final não pode ser anterior à data inicial!
End Date cannot be today.,A data final não pode ser hoje.
Ended At,Encerrado em
Endpoints,Endpoints
Enqueued By,Enfileirado por
Enqueued creation of indexes,Criação de índices enfileirada
Ensure the user and group search paths are correct.,Garanta que os caminhos de pesquisa de usuário e grupo estejam corretos.
Enter Client Id and Client Secret in Google Settings.,Informe o Client ID e o Client Secret em Configurações do Google.
Enter Code displayed in OTP App.,Informe o código exibido no aplicativo OTP.
"Enter Email Recipient(s) in the To, CC, or BCC fields","Informe o(s) destinatário(s) de e-mail nos campos Para, CC ou BCC"
Enter Form Type,Informe o tipo de formulário
Enter Value,Informe o valor
Enter a name for this {0},Informe um nome para este {0}
"Enter default value fields (keys) and values. If you add multiple values for a field, the first one will be picked. These defaults are also used to set \"match\" permission rules. To see list of fields, go to \"Customize Form\".","Informe os campos de valor padrão (chaves) e valores. Se você adicionar vários valores para um campo, o primeiro será escolhido. Esses padrões também são usados para definir regras de permissão de \"correspondência\". Para ver a lista de campos, vá para \"Personalizar Formulário\"."
Enter folder name,Informe o nome da pasta
"Enter list of Options, each on a new line.","Informe a lista de opções, cada uma em uma nova linha."
"Enter static url parameters here (Eg. sender=ERPNext, username=ERPNext, password=1234 etc.)","Informe aqui os parâmetros estáticos da URL (ex.: sender=ERPNext, username=ERPNext, password=1234 etc.)"
Enter url parameter for message,Informe o parâmetro de URL para mensagem
Enter url parameter for receiver nos,Informe o parâmetro de URL para números do destinatário
Enter your password,Informe sua senha
Entity Name,Nome da entidade
Entity Type,Tipo da entidade
Error,Erro
Error Message,Mensagem de erro
"Error connecting to QZ Tray Application...<br><br> You need to have QZ Tray application installed and running, to use the Raw Print feature.<br><br><a target=\"_blank\" href=\"https://qz.io/download/\">Click here to Download and install QZ Tray</a>.<br> <a target=\"_blank\" href=\"https://erpnext.com/docs/user/manual/en/setting-up/print/raw-printing\">Click here to learn more about Raw Printing</a>.","Erro ao conectar ao aplicativo QZ Tray...<br><br> Você precisa ter o aplicativo QZ Tray instalado e em execução para usar o recurso Raw Print.<br><br><a target=\"_blank\" href=\"https://qz.io/download/\">Clique aqui para baixar e instalar o QZ Tray</a>.<br> <a target=\"_blank\" href=\"https://erpnext.com/docs/user/manual/en/setting-up/print/raw-printing\">Clique aqui para saber mais sobre Raw Printing</a>."
Error connecting via IMAP/POP3: {e},Erro ao conectar via IMAP/POP3: {e}
Error connecting via SMTP: {e},Erro ao conectar via SMTP: {e}
Error has occurred in {0},Ocorreu um erro em {0}
Error in Client Script,Erro no Script do Cliente
Error in Client Script.,Erro no Script do Cliente.
Error in Header/Footer Script,Erro no Script de Cabeçalho/Rodapé
Error in Notification,Erro na notificação
Error in print format on line {0}: {1},Erro no formato de impressão na linha {0}: {1}
Error in {0}.get_list: {1},Erro em {0}.get_list: {1}
Error parsing nested filters: {0}. {1},Erro ao processar filtros aninhados: {0}. {1}
Error validating "Ignore User Permissions",Erro ao validar "Ignorar Permissões do Usuário"
Error while connecting to email account {0},Erro ao conectar com a conta de e-mail {0}
Error while evaluating Notification {0}. Please fix your template.,Erro ao avaliar a Notificação {0}. Corrija seu modelo.
Error {0}: {1},Erro {0}: {1}
Error: Data missing in table {0},Erro: dados ausentes na tabela {0}
Error: Value missing for {0}: {1},Erro: valor ausente para {0}: {1}
Error: {0} Row #{1}: Value missing for: {2},Erro: {0} Linha #{1}: valor ausente para: {2}
Evaluate as Expression,Avaliar como expressão
Event Frequency,Frequência do evento
Event Notifications,Notificações de evento
Event Participants,Participantes do evento
Event Synced with Google Calendar.,Evento sincronizado com Google Calendar.
Event Type,Tipo de evento
Events in Today's Calendar,Eventos no calendário de hoje
Everyone,Todos
"Ex: \"colors\": [\"#d1d8dd\", \"#ff5858\"]","Ex.: \"colors\": [\"#d1d8dd\", \"#ff5858\"]"
Exact Copies,Cópias exatas
Example: "/desk",Exemplo: "/desk"
Example: Setting this to 24:00 will log out a user if they are not active for 24:00 hours.,Exemplo: definir isto como 24:00 fará logout do usuário se ele não estiver ativo por 24:00 horas.
Example: {{ subject }},Exemplo: {{ subject }}
Excel,Excel
Excellent,Excelente
Execute,Executar
Execute Console script,Executar script do Console
Executing Code,Executando código
Executing...,Executando...
Execution Time: {0} sec,Tempo de execução: {0} s
Executive,Executivo
Existing Role,Perfil existente
Expand All,Expandir tudo
"Expected 'and' or 'or' operator, found: {0}","Operador 'and' ou 'or' esperado, encontrado: {0}"
Experimental,Experimental
Expire Notification On,Expirar notificação em
Expires On,Expira em
Export 1 record,Exportar 1 registro
Export Custom Permissions,Exportar permissões personalizadas
Export Customizations,Exportar personalizações
Export Data,Exportar dados
Export Errored Rows,Exportar linhas com erro
Export Import Log,Exportar log de importação
Export Report: {0},Exportar relatório: {0}
Export all matching rows?,Exportar todas as linhas correspondentes?
Export all {0} rows?,Exportar todas as {0} linhas?
Export as zip,Exportar como zip
Export in Background,Exportar em segundo plano
Export not allowed. You need {0} role to export.,Exportação não permitida. Você precisa do perfil {0} para exportar.
Export only customizations assigned to the selected module.<br><span class='text-muted'><strong>Note:</strong> You must set the <em>Module (for export)</em> field on Custom Field and Property Setter records before applying this filter.</span><p class='alert alert-warning'> <strong>Warning:</strong> Customizations from other modules will be excluded.</p>,Exporte apenas as personalizações atribuídas ao módulo selecionado.<br><span class='text-muted'><strong>Nota:</strong> Você deve definir o campo <em>Módulo (para exportação)</em> nos registros de Campo Personalizado e Property Setter antes de aplicar este filtro.</span><p class='alert alert-warning'> <strong>Aviso:</strong> Personalizações de outros módulos serão excluídas.</p>
Export the data without any header notes and column descriptions,Exportar os dados sem notas de cabeçalho e descrições de coluna
Export without main header,Exportar sem cabeçalho principal
Export {0} records,Exportar {0} registros
"Exported permissions will be force-synced on every migrate overriding any other customization.","As permissões exportadas serão sincronizadas forçadamente em cada migração, sobrescrevendo qualquer outra personalização."
Expression,Expressão
Expression (old style),Expressão (estilo antigo)
External,Externo
External Link,Link externo
Extra Parameters,Parâmetros extras
FAILURE,FALHA
Facebook,Facebook
Fail,Falha
Failed Transactions,Transações com falha
Failed to aquire lock: {}. Lock may be held by another process.,Falha ao adquirir lock: {}. O lock pode estar em uso por outro processo.
Failed to change password.,Falha ao alterar a senha.
Failed to complete setup,Falha ao concluir a configuração
Failed to compute request body: {},Falha ao calcular o corpo da requisição: {}
Failed to connect to server,Falha ao conectar ao servidor
"Failed to decode token, please provide a valid base64-encoded token.","Falha ao decodificar o token, informe um token válido codificado em base64."
Failed to decrypt key {0},Falha ao descriptografar a chave {0}
Failed to delete communication,Falha ao excluir a comunicação
Failed to delete {0} documents: {1},Falha ao excluir documentos {0}: {1}
Failed to enable scheduler: {0},Falha ao habilitar o agendador: {0}
Failed to evaluate conditions: {},Falha ao avaliar condições: {}
Failed to export python type hints,Falha ao exportar type hints de Python
Failed to generate names from the series,Falha ao gerar nomes a partir da série
Failed to generate preview of series,Falha ao gerar pré-visualização da série
Failed to get method for command {0} with {1},Falha ao obter método para o comando {0} com {1}
Failed to get method {0} with {1},Falha ao obter método {0} com {1}
"Failed to import virtual doctype {}, is controller file present?","Falha ao importar doctype virtual {}; o arquivo controlador está presente?"
Failed to optimize image: {0},Falha ao otimizar imagem: {0}
Failed to render message: {},Falha ao renderizar mensagem: {}
Failed to render subject: {},Falha ao renderizar assunto: {}
Failed to request login to Frappe Cloud,Falha ao solicitar login no Frappe Cloud
Failed to retrieve the list of IMAP folders from the server. Please ensure the mailbox is accessible and the account has permission to list folders.,Falha ao obter a lista de pastas IMAP do servidor. Verifique se a caixa de correio está acessível e se a conta tem permissão para listar pastas.
Failed to send email with subject:,Falha ao enviar e-mail com assunto:
Failed to send notification email,Falha ao enviar e-mail de notificação
Failed to update global settings,Falha ao atualizar configurações globais
Failed while calling API {0},Falha ao chamar a API {0}
Failing Scheduled Jobs (last 7 days),Tarefas agendadas com falha (últimos 7 dias)
Failure,Falha
Failure Rate,Taxa de falha
FavIcon,Favicon
Fax,Fax
Feedback,Feedback
Fetch Images,Buscar imagens
Fetch attached images from document,Buscar imagens anexadas do documento
Fetch on Save if Empty,Buscar ao salvar se estiver vazio
Fetching default Global Search documents.,Buscando documentos padrão da Busca Global.
Fetching fields from {0}...,Buscando campos de {0}...
